,enrollment_id,username,course_id,no_of_objects1,bno_access1,bno_pageclose1,bno_problem1,bno_video1,bno_discussion1,bno_navigate1,bno_wiki1,bno_total1,bno_avg1,no_of_active_days1,time_consumption1,browser_access1,browser_pageclose1,browser_problem1,browser_video1,server_access1,server_discussion1,server_problem1,server_navigate1,server_wiki1,bno_browser1,bno_server1,label,no_of_objects2,bno_access2,bno_pageclose2,bno_problem2,bno_video2,bno_discussion2,bno_navigate2,bno_wiki2,bno_total2,bno_avg2,no_of_active_days2,time_consumption2,browser_access2,browser_pageclose2,browser_problem2,browser_video2,server_access2,server_discussion2,server_problem2,server_navigate2,server_wiki2,bno_browser2,bno_server2
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,13.0,9.0,2.0,14.0,1.0,0.0,5.0,0.0,31.0,4.428571428571429,2.0,-1759501.0,4.0,2.0,14.0,1.0,5.0,0.0,0.0,5.0,0.0,21.0,10.0,0,36.0,27.0,12.0,41.0,4.0,0.0,4.0,0.0,88.0,12.571428571428571,3.0,-2097946.0,12.0,12.0,41.0,4.0,15.0,0.0,0.0,4.0,0.0,69.0,19.0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,34.0,53.0,20.0,45.0,13.0,5.0,11.0,0.0,147.0,21.0,2.0,0.0,28.0,20.0,37.0,13.0,25.0,5.0,8.0,11.0,0.0,98.0,49.0,0,42.0,90.0,41.0,67.0,34.0,15.0,9.0,0.0,256.0,36.57142857142857,4.0,0.0,43.0,41.0,53.0,34.0,47.0,15.0,14.0,9.0,0.0,171.0,85.0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,30.0,59.0,20.0,34.0,22.0,0.0,10.0,0.0,145.0,20.714285714285715,2.0,0.0,33.0,20.0,31.0,22.0,26.0,0.0,3.0,10.0,0.0,106.0,39.0,1,17.0,49.0,14.0,14.0,9.0,18.0,3.0,0.0,107.0,15.285714285714286,2.0,0.0,30.0,14.0,11.0,9.0,19.0,18.0,3.0,3.0,0.0,64.0,43.0
3,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.5714285714285714,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,0,34.0,55.0,20.0,35.0,18.0,8.0,9.0,0.0,145.0,20.714285714285715,3.0,0.0,30.0,20.0,33.0,18.0,25.0,8.0,2.0,9.0,0.0,101.0,44.0
4,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,28.0,102.0,52.0,16.0,15.0,504.0,62.0,0.0,751.0,107.28571428571428,7.0,0.0,17.0,52.0,8.0,15.0,85.0,504.0,8.0,62.0,0.0,92.0,659.0,0,58.0,105.0,49.0,42.0,15.0,373.0,32.0,0.0,616.0,88.0,7.0,0.0,29.0,49.0,21.0,15.0,76.0,373.0,21.0,32.0,0.0,114.0,502.0
5,50,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,9.0,11.0,3.0,6.0,0.0,0.0,3.0,0.0,23.0,3.2857142857142856,2.0,0.0,4.0,3.0,6.0,0.0,7.0,0.0,0.0,3.0,0.0,13.0,10.0,1,14.0,29.0,15.0,22.0,0.0,0.0,3.0,0.0,69.0,9.857142857142858,3.0,0.0,11.0,15.0,20.0,0.0,18.0,0.0,2.0,3.0,0.0,46.0,23.0
6,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,37.0,85.0,25.0,45.0,8.0,19.0,19.0,2.0,203.0,29.0,5.0,0.0,35.0,25.0,41.0,8.0,50.0,19.0,4.0,19.0,2.0,109.0,94.0,0,35.0,73.0,33.0,58.0,8.0,21.0,18.0,0.0,211.0,30.142857142857142,5.0,0.0,15.0,33.0,54.0,8.0,58.0,21.0,4.0,18.0,0.0,110.0,101.0
7,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,20.0,34.0,17.0,8.0,15.0,0.0,2.0,0.0,76.0,10.857142857142858,3.0,0.0,13.0,17.0,7.0,15.0,21.0,0.0,1.0,2.0,0.0,52.0,24.0,1,20.0,26.0,8.0,26.0,7.0,1.0,3.0,0.0,71.0,10.142857142857142,2.0,0.0,15.0,8.0,22.0,7.0,11.0,1.0,4.0,3.0,0.0,52.0,19.0
8,134,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,8.0,4.0,3.0,2.0,3.0,0.0,2.0,0.0,14.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0,0.0,9.0,5.0,1,26.0,16.0,6.0,22.0,5.0,0.0,8.0,0.0,57.0,8.142857142857142,1.0,0.0,8.0,6.0,22.0,5.0,8.0,0.0,0.0,8.0,0.0,41.0,16.0
9,192,hCxbmPBmjgsEuMY36HnZH4x3BwWFnCUn,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,41.0,67.0,23.0,24.0,23.0,0.0,8.0,0.0,145.0,20.714285714285715,3.0,0.0,44.0,23.0,21.0,23.0,23.0,0.0,3.0,8.0,0.0,111.0,34.0,0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,2.142857142857143,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0
