,enrollment_id,username,course_id,no_of_objects4,bno_access4,bno_pageclose4,bno_problem4,bno_video4,bno_discussion4,bno_navigate4,bno_wiki4,bno_total4,bno_avg4,no_of_active_days4,time_consumption4,browser_access4,browser_pageclose4,browser_problem4,browser_video4,server_access4,server_discussion4,server_problem4,server_navigate4,server_wiki4,bno_browser4,bno_server4,label
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,35,28,2,55,0,5,3,0,93,13.285714285714286,2,132239.0,12,2,53,0,16,5,2,3,0,67,26,0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,54,79,24,58,39,14,8,0,222,31.714285714285715,4,0.0,48,24,48,39,31,14,10,8,0,159,63,0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,20,23,10,18,4,0,4,0,59,8.428571428571429,3,0.0,8,10,9,4,15,0,9,4,0,31,28,1
3,13,hDbSkVrFRj9Ryk3c5E1JYJQLyxm4jLRb,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,100,200,25,150,69,4,15,0,463,66.14285714285714,8,0.0,106,25,114,69,94,4,36,15,0,314,149,0
4,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,45,115,45,58,50,10,16,0,294,42.0,6,0.0,49,45,46,50,66,10,12,16,0,190,104,0
5,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,22,78,44,10,3,226,35,0,396,56.57142857142857,8,0.0,13,44,5,3,65,226,5,35,0,65,331,0
6,51,bYjPoNbc5ILh7K7s9YR8HLOMNJGN6Ums,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,85,520,237,6,229,175,71,0,1238,176.85714285714286,26,0.0,200,237,3,229,320,175,3,71,0,669,569,0
7,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,8,11,3,2,2,0,1,0,19,2.7142857142857144,1,0.0,2,3,2,2,9,0,0,1,0,9,10,0
8,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,13,15,10,0,6,0,4,0,35,5.0,2,0.0,0,10,0,6,15,0,0,4,0,16,19,1
9,114,JNo2rLqKe6aBGDwGzu8tXd13uOC5tEnq,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,5,1,1,0,0,0,5,0,7,1.0,1,0.0,0,1,0,0,1,0,0,5,0,1,6,1
10,134,Q5TmTVdy8nnH2vTL73s67ZseaCMO3k91,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,4,3,2,0,0,0,4,0,9,1.2857142857142858,2,0.0,0,2,0,0,3,0,0,4,0,2,7,1
11,141,CB4JYroUtmiKv572P6g4vrvJCi6Pzr9h,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,2,0,0,0,0,0,2,0,2,0.2857142857142857,1,0.0,0,0,0,0,0,0,0,2,0,0,2,1
12,192,hCxbmPBmjgsEuMY36HnZH4x3BwWFnCUn,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,30,143,21,0,22,0,26,0,212,30.285714285714285,7,0.0,78,21,0,22,65,0,0,26,0,121,91,0
13,199,OEQBiRbbo3yEBzKSHcNX9ESBTSUy08ze,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,44,73,31,41,19,22,14,3,203,29.0,2,0.0,36,31,32,19,37,22,9,14,3,118,85,0
14,200,tp9GLoYyljDV6mILQxrtrv1Iw4qcPl5Z,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,6,8,3,0,3,0,4,0,18,2.5714285714285716,2,0.0,3,3,0,3,5,0,0,4,0,9,9,1
15,219,088SASUPOVYUGhoEly8vlrkGvRBJoNwp,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,48,304,60,90,9,222,30,1,716,102.28571428571429,6,0.0,168,60,65,9,136,222,25,30,1,302,414,0
16,255,O6WL6sxvoPCZnvTLyTPxdXbnpOz3wcJ4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,46,88,22,46,17,4,12,0,189,27.0,6,0.0,26,22,35,17,62,4,11,12,0,100,89,0
17,272,BttUqG7aP3DWaBbIZQal1szLYpZUGYxR,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,9,25,9,0,0,111,19,0,164,23.428571428571427,12,0.0,10,9,0,0,15,111,0,19,0,19,145,0
18,284,L9qMLlGWAeAI6zWAZIyJtn0wISNa3dxg,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,6,2,0,0,0,51,16,0,69,9.857142857142858,8,0.0,0,0,0,0,2,51,0,16,0,0,69,0
19,373,XUkSDdNHWcdano4aRGWpLSTI2IF8D1IH,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,28,71,20,66,0,6,17,0,180,25.714285714285715,5,0.0,30,20,55,0,41,6,11,17,0,105,75,0
20,433,PEDnL2c66c2DN92O9BTVM9D6p19gGbT6,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,3,6,5,0,0,0,6,0,17,2.4285714285714284,4,0.0,0,5,0,0,6,0,0,6,0,5,12,0
21,447,a2mtYqbDDrFbFqfnqiJDA0edBTN433cW,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,2,0,0,0,0,0,2,0,2,0.2857142857142857,1,0.0,0,0,0,0,0,0,0,2,0,0,2,1
22,493,xNkIHhqS8GZXIqyoWwwS3ZeYfSmUsNJo,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,62,177,39,77,38,0,6,0,337,48.142857142857146,5,0.0,37,39,63,38,140,0,14,6,0,177,160,0
23,561,7LdIrvw2mKsGn0uQY4FG8nOBRXaRc1Ll,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,37,95,24,46,22,4,15,0,206,29.428571428571427,3,0.0,57,24,35,22,38,4,11,15,0,138,68,0
24,721,8C8UfNr6FiHHVx6gYUCnrrjltp4r2EEf,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,1,0,0,0,0,0,1,0,1,0.14285714285714285,1,0.0,0,0,0,0,0,0,0,1,0,0,1,1
25,744,4EmbBZZKe7031MRObaECOYTAuU5wz706,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,8,9,4,0,4,0,2,0,19,2.7142857142857144,1,0.0,3,4,0,4,6,0,0,2,0,11,8,1
26,777,bLIF0ETNcg7fjkutu8YBWJptM3zxtu2Z,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,41,194,96,28,78,54,55,1,506,72.28571428571429,5,0.0,74,96,23,78,120,54,5,55,1,271,235,0
27,780,anqtRE1JbVfWjk9aVYgpNXBcTCoFe9WO,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,26,30,11,0,13,2,4,0,60,8.571428571428571,2,0.0,12,11,0,13,18,2,0,4,0,36,24,1
28,884,c3CVim2QZeSVk1wACFUHDmf9ZjEIwtuP,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,38,67,23,68,21,0,15,0,194,27.714285714285715,4,0.0,40,23,51,21,27,0,17,15,0,135,59,0
29,937,uQjl8NGtIQkRfoe9edBiMgtYYmdkzVXR,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,21,63,17,14,8,5,4,0,111,15.857142857142858,3,0.0,23,17,11,8,40,5,3,4,0,59,52,0
