,enrollment_id,username,course_id,no_of_objects,bno_access,bno_pageclose,bno_problem,bno_video,bno_discussion,bno_navigate,bno_wiki,bno_total,bno_avg,no_of_active_days,time_consumption,browser_access,browser_pageclose,browser_problem,browser_video,server_access,server_discussion,server_problem,server_navigate,server_wiki,bno_browser,bno_server,label
0,3,1qXC7Fjbwp66GPQc6pHLfEuO8WKozxG4,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,99,79,22,138,9,26,14,0,288,41.142857142857146,9,2102731.0,34,22,135,9,45,26,3,14,0,200,88,0
1,5,p1Mp7WkVfzUijX0peVQKSHbgd5pXyl4c,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,111,226,87,170,86,34,30,0,633,90.42857142857143,11,0.0,120,87,138,86,106,34,32,30,0,431,202,0
2,7,I1KwJ6EdCZnEPLfC8Q7yWpIkLOHn7h02,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,86,203,60,94,69,33,20,0,479,68.42857142857143,10,0.0,122,60,74,69,81,33,20,20,0,325,154,1
3,13,hDbSkVrFRj9Ryk3c5E1JYJQLyxm4jLRb,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,100,200,25,150,69,4,15,0,463,66.14285714285714,8,0.0,106,25,114,69,94,4,36,15,0,314,149,0
4,22,dPBUV0FPFjTZZK079rPAeq0WXhW4DUkF,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,49,66,38,64,36,0,1,0,205,29.285714285714285,2,0.0,26,38,56,36,40,0,8,1,0,156,49,1
5,45,5Tz6BGN7p1lkmdoopAY1Z5ufYTrUsi9E,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,113,326,115,166,104,45,39,0,795,113.57142857142857,16,0.0,153,115,138,104,173,45,28,39,0,510,285,0
6,49,2oTvbzieHn2y5oozeOgSnruqE6N0BtR5,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,95,337,171,68,45,1324,160,0,2105,300.7142857142857,29,0.0,71,171,34,45,266,1324,34,160,0,321,1784,0
7,50,LnNj9zDI8D38ixGOYTIjTH2iF5m36v9S,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,24,49,22,48,0,0,7,0,126,18.0,6,0.0,19,22,43,0,30,0,5,7,0,84,42,1
8,51,bYjPoNbc5ILh7K7s9YR8HLOMNJGN6Ums,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,85,520,237,6,229,175,71,0,1238,176.85714285714286,26,0.0,200,237,3,229,320,175,3,71,0,669,569,0
9,58,l9KseRU4xYtwOzoILYmGcicF0iiXQqxl,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,100,239,85,141,34,40,48,2,589,84.14285714285714,16,0.0,68,85,128,34,171,40,13,48,2,315,274,0
10,96,KXi2lu4GlKmrO1lJTLg3t4l701rvNXNZ,7GRhBDsirIGkRZBtSMEzNTyDr2JQm4xx,40,80,38,34,28,1,10,0,191,27.285714285714285,8,0.0,29,38,29,28,51,1,5,10,0,124,67,1
11,114,JNo2rLqKe6aBGDwGzu8tXd13uOC5tEnq,5X6FeZozNMgE2VRi3MJYjkkFK8SETtu2,5,1,1,0,0,0,5,0,7,1.0,1,0.0,0,1,0,0,1,0,0,5,0,1,6,1
